INdex,INdex.1,INdex.1.1,Magnitude,Station Name,Epicenter distance,Hypocenter distance,Focal depth,Station_Lon,Station_Lat,Epicenter_Lon,Epicenter_Lat,PGA,Tau_p,Tau_c,Origin Time,Rec Start Time,Vs30,Vs_20,Vs_10,Vs_5,PI_v,T_va,RSSC Vel,CAV,CAD,ID_2,IV_2,Arias intensity UD,Arias intensity NS,Arias intensity EW,PGV UD 3 sec,PGD UD 3 sec,PGA UD 3 sec,Max Acc Index UD,Max Acc Index NS,Max Acc Index EW,Max Vel Index UD,Max Disp Index UD,Total PGV UD,Total PGD UD,Total PGV NS,Total PGD NS,Total PGV EW,Total PGD EW,V VS ACC
3778,3778,3778,4.5,AIC014,108.4398885,110.8521963,23,137.22,34.8263,138.408,34.84,1.871,1.5,2.639466307,18:11:00,18:11:36,449,299,204,132,-6.218909326,0.165562375,0.050507114,0.73001352,0.302527537,4.50E-06,2.55E-05,0.14416306,0.082028923,0.225194981,0.008719982,0.002748316,0.330928231,240,275,251,259,297,0.007389491,0.00019632,0.010738865,0.000491275,0.015063901,0.000713279,0.02635007
3779,3779,3779,4.5,AIC015,92.09878466,94.92726761,23,137.4047,34.7549,138.408,34.84,2.5,1.5,3.077172599,18:11:00,18:11:31,459,306,248,180,-8.790460145,0.154313741,0.017899481,0.270999808,0.125851474,7.66E-07,3.19E-06,0.018031233,0.262314004,0.670108409,0.002230976,0.001072386,0.090838558,55,39,53,53,299,0.001014809,2.69E-05,0.001044209,4.73E-05,0.001717941,8.77E-05,0.024559795
3780,3780,3780,4.5,AIC017,106.4571058,108.9133389,23,137.2606,34.6728,138.408,34.84,1.324,1.5,3.181276263,18:11:00,18:11:37,469,313,228,159,-5.262220385,0.785940175,0.263969653,4.086686836,1.920973008,0.000177724,0.000693271,4.42163563,0.00865917,0.007868248,0.02690677,0.016320402,0.215105711,280,138,254,282,299,0.004140106,0.000281481,0.001758395,4.75E-05,0.002522263,0.000157631,0.125086264
3781,3781,3781,4.5,GIF007,157.2071948,158.8807795,23,137.4861,36.0378,138.408,34.84,8.174,0.136363636,0.191419207,18:11:00,18:11:38,378,252,180,114,-5.102858934,0.135243116,0.092790302,1.205224642,0.038643104,7.94E-08,8.55E-05,0.191069776,0.736570215,0.534981206,0.015244232,0.000469927,0.70822338,95,135,91,99,95,0.000178806,1.29E-05,0.00011117,4.35E-06,0.000150962,8.18E-06,0.02152461
3782,3782,3782,4.5,GIF008,161.5622492,163.1911773,23,137.26,35.9515,138.408,34.84,2.038,1.5,3.145215016,18:11:00,18:11:50,775,517,326,216,-6.189590665,0.742515472,0.160895948,2.451353861,1.15639567,6.46E-05,0.000257829,1.605910899,0.446960429,0.212833931,0.018357028,0.009840077,0.155337652,24,217,251,277,299,0.00497649,0.000291442,0.00428418,0.00018813,0.004948321,0.000176212,0.118175008
3783,3783,3783,4.5,GIF010,150.3211968,152.070583,23,137.245,35.8029,138.408,34.84,2.178,1.5,3.169247597,18:11:00,18:11:48,734,489,245,153,-5.289479464,1.12205099,0.373388953,5.750221127,2.703060446,0.000353293,0.001388618,8.701228067,0.103688766,4.263384234,0.038074274,0.023021353,0.213205749,185,220,290,293,299,0.006750597,0.000470227,0.007167368,0.00044784,0.007580371,0.000570093,0.178579961
3784,3784,3784,4.5,GIF013,145.5869494,147.3925366,23,137.1617,35.6637,138.408,34.84,1.552,1.5,3.229249541,18:11:00,18:11:48,1111,741,370,235,-5.295887842,1.036687372,0.334159914,5.182171873,2.464400415,0.000293616,0.001111569,6.960637963,0.01137538,9.610104396,0.031808977,0.020629377,0.192788784,8,199,262,299,299,0.005547798,0.000296287,0.00410781,0.000103543,0.008512202,0.000365213,0.16499392
3785,3785,3785,4.5,GIF014,127.3572368,129.4174091,23,137.4258,35.6576,138.408,34.84,1.199,1.5,2.982391939,18:11:00,18:11:42,1368,912,456,355,-6.750182186,0.402353412,0.105307057,1.620620979,0.715466552,2.49E-05,0.000110731,0.684583535,1.176615922,0.288230267,0.012185015,0.006179726,0.190282235,66,56,205,273,296,0.004336191,0.000257113,0.003939346,0.000270155,0.003404628,0.000148999,0.064036534
3786,3786,3786,4.5,GIF018,109.6154288,112.0024207,23,137.5,35.4887,138.408,34.84,3.323,0.010638298,1.032473053,18:11:00,18:11:36,679,452,226,154,-5.893174182,0.176071996,0.055198427,0.731424792,0.139684423,8.20E-07,3.04E-05,0.112486142,0.072311033,0.129272388,0.010886225,0.000942317,0.38847841,11,90,172,8,299,0.006629273,0.000176034,0.002004348,5.32E-05,0.002795052,0.00014477,0.028022728
3787,3787,3787,4.5,GIF019,113.7017281,116.0046678,23,137.4039,35.4495,138.408,34.84,1.337,0.010204082,0.90139367,18:11:00,18:11:38,720,480,343,218,-6.699434952,0.273780433,0.046791001,0.639195294,0.093473304,4.51E-07,2.19E-05,0.07841429,0.047643163,0.079344305,0.008362343,0.000880691,0.19191346,43,101,115,46,280,0.006818236,0.00042087,0.005641606,0.000322268,0.006185375,0.000411402,0.043573509
3788,3788,3788,4.5,GIF023,124.3975657,126.5059459,23,137.2158,35.3882,138.408,34.84,3.107,1.5,2.951043218,18:11:00,18:11:40,769,513,350,275,-4.534144567,0.255212206,0.20837687,3.064366283,1.406513603,9.56E-05,0.000433569,2.578337142,0.129640224,0.249485209,0.028913968,0.012051007,0.711846118,89,293,180,271,295,0.014278507,0.000553598,0.012210358,0.000679322,0.008609872,0.000386018,0.040618284
3789,3789,3789,4.5,GIF024,106.1138014,108.5778009,23,137.387,35.3009,138.408,34.84,3.038,1.5,1.931095029,18:11:00,18:11:35,1255,837,418,283,-5.976896042,0.167843827,0.054737548,0.749457206,0.25717575,2.83E-06,3.00E-05,0.194097369,0.980560575,0.183882855,0.010635714,0.001711904,0.398144898,72,18,123,74,294,0.012229277,0.000486981,0.009455329,0.000433755,0.006666263,0.000283855,0.026713175
3790,3790,3790,4.5,KNG014,84.37952568,87.4580148,23,139.0826,35.3608,138.408,34.84,4.842,1.5,3.22204121,18:11:00,18:11:31,507,338,273,197,-6.438963779,0.487912385,0.131439379,2.041690264,0.96985832,4.53E-05,0.000172132,1.088441116,0.436251085,2.461607613,0.012446601,0.00813484,0.160283492,168,269,30,297,299,0.001915722,0.000112008,0.001588372,6.91E-05,0.002387518,0.0001638,0.077653668
3791,3791,3791,4.5,NGN014,139.7876668,141.6671867,23,138.4844,36.0956,138.408,34.84,3.84,1.5,3.127289159,18:11:00,18:11:45,369,246,265,440,-5.351421314,0.254132542,0.191609778,2.932111167,1.372183994,9.07E-05,0.000366092,1.998651056,22.62387894,59.37501583,0.020761378,0.011492484,0.513305329,169,173,190,290,299,0.008006532,0.000423675,0.025296979,0.000714716,0.012275237,0.000956841,0.04044645
3792,3792,3792,4.5,NGN015,136.6971602,138.6185904,23,138.1116,36.0454,138.408,34.84,1.702,1.5,2.523028199,18:11:00,18:11:47,282,188,173,162,-5.373271875,0.490251251,0.154807021,2.255395755,0.897004579,3.85E-05,0.000238952,1.274624731,12.09100535,0.712206288,0.022036202,0.007499142,0.282421594,50,147,138,254,299,0.012156477,0.000685949,0.015569823,0.001550568,0.015884067,0.001311237,0.07802591
